datetime,open,high,low,close,volume
2026-02-09T12:00:00+00:00,50.51,51.16,47.52,50.16,45981
2026-02-10T12:00:00+00:00,50.16,50.46,46.69,47.08,41834
2026-02-11T12:00:00+00:00,47.08,49.49,46.78,48.16,74037
2026-02-12T12:00:00+00:00,48.16,48.89,46.12,46.43,75823
2026-02-13T12:00:00+00:00,46.43,47.63,44.89,46.72,79069
2026-02-17T12:00:00+00:00,46.72,46.77,45.38,46.14,70553
2026-02-18T12:00:00+00:00,46.14,46.69,44.82,45.4,36421
2026-02-19T12:00:00+00:00,45.4,45.4,43.84,44.56,49196
2026-02-20T12:00:00+00:00,44.56,44.56,42.81,44.06,52580
2026-02-23T12:00:00+00:00,44.06,44.48,43.11,43.59,38675
2026-02-24T12:00:00+00:00,43.59,46.54,43.47,46.06,45686
2026-02-25T12:00:00+00:00,46.06,46.91,45.44,46.83,29250
2026-02-26T12:00:00+00:00,46.83,46.89,44.32,45.42,46774
2026-02-27T12:00:00+00:00,45.42,46.5,44.32,45.52,47743
2026-03-02T12:00:00+00:00,44.1,45.72,43.89,45.42,56541
2026-03-03T12:00:00+00:00,45.42,45.42,42.09,43.06,78111
2026-03-04T12:00:00+00:00,43.06,46.06,43.06,45.5,52895
2026-03-05T12:00:00+00:00,45.5,46.42,44.63,45.89,71244
2026-03-06T12:00:00+00:00,45.89,45.89,43.21,43.36,73091
2026-03-09T12:00:00+00:00,43.36,45.69,41.59,45.5,64206
2026-03-10T12:00:00+00:00,45.5,47.81,45.35,46.72,72585
2026-03-11T12:00:00+00:00,46.82,48.77,46.6,47.89,53822
2026-03-12T12:00:00+00:00,47.89,47.89,45.1,45.18,68504
2026-03-13T12:00:00+00:00,45.18,46.57,45.18,45.71,64233
2026-03-16T12:00:00+00:00,45.71,49.07,45.62,45.65,71196
2026-03-17T12:00:00+00:00,45.65,46.01,43.84,43.99,40168
2026-03-18T12:00:00+00:00,43.99,45.65,43.98,44.96,45456
2026-03-19T12:00:00+00:00,44.96,46.38,43.58,46.14,66633
2026-03-20T12:00:00+00:00,46.14,47.46,43.57,43.82,68874
2026-03-23T12:00:00+00:00,43.82,45.4,43.67,43.93,65844
2026-03-24T12:00:00+00:00,43.93,44.25,43.11,44.03,59783
2026-03-25T12:00:00+00:00,44.03,47.78,44.03,47.12,59344
2026-03-26T12:00:00+00:00,47.12,47.12,43.85,44.04,50554
2026-03-27T12:00:00+00:00,44.04,44.06,42.79,43.07,50754
2026-03-30T12:00:00+00:00,43.07,43.92,40.56,41.12,57906
2026-03-31T12:00:00+00:00,41.12,44.17,41.12,44.08,82021
2026-04-01T12:00:00+00:00,44.08,48.7,44.08,47.98,62676
2026-04-02T12:00:00+00:00,47.98,50.42,45.94,50.3,81813
2026-04-06T12:00:00+00:00,50.3,52.33,49.8,50.68,61729
2026-04-07T12:00:00+00:00,50.68,53.2,50.68,52.81,77845
2026-04-08T12:00:00+00:00,52.81,59.11,52.81,58.87,74090
2026-04-09T12:00:00+00:00,58.87,62,58.28,61.6,64709
2026-04-10T12:00:00+00:00,61.6,63.32,60.68,62.29,59948
2026-04-13T12:00:00+00:00,62.29,65.59,62.04,65.1,52485
2026-04-14T12:00:00+00:00,65.1,65.11,62.01,63.74,58736
2026-04-15T12:00:00+00:00,63.74,65.77,62.8,64.88,57753
2026-04-16T12:00:00+00:00,64.88,68.54,64.2,68.49,72176
2026-04-17T12:00:00+00:00,68.49,70.26,67.66,68.43,76275
2026-04-20T12:00:00+00:00,68.43,69.12,65.03,65.65,60345
2026-04-21T12:00:00+00:00,65.65,67.57,65.57,66.26,40012
